file,line,code_snippet,pattern_matched,classification,allowed,status
scripts/audit_oos_access.py,22,"r""bounds\.test_indices"",",test_indices,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/audit_oos_access.py,23,"r""test_indices"",",test_indices,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/audit_oos_access.py,24,"r""test_df"",",test_df,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/audit_oos_access.py,25,"r""X_test"",",X_test,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/audit_oos_access.py,26,"r""y_test"",",y_test,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/audit_oos_access.py,27,"r""get_oos_slice"",",get_oos_slice,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/audit_oos_access.py,28,"r""load_oos_data"",",load_oos_data,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/audit_oos_access.py,29,"r""evaluate_frozen_oos"",",evaluate_frozen_oos,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/audit_oos_access.py,30,"r""evaluate_oos_gate"",",evaluate_oos_gate,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/audit_oos_access.py,31,"r""OOSManifest"",",OOSManifest,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/audit_oos_access.py,32,"r""OOSEvaluationSession"",",OOSEvaluationSession,AUTHORIZED_GUARD_IMPLEMENTATION,True,COMPLIANT_INFRASTRUCTURE
scripts/evaluate_new_oos.py,26,"OOSManifest,",OOSManifest,AUTHORIZED_FINAL_EVALUATOR,True,COMPLIANT_AUTHORIZED
scripts/evaluate_new_oos.py,28,"OOSEvaluationSession,",OOSEvaluationSession,AUTHORIZED_FINAL_EVALUATOR,True,COMPLIANT_AUTHORIZED
scripts/evaluate_new_oos.py,34,def evaluate_oos_gate(,evaluate_oos_gate,AUTHORIZED_FINAL_EVALUATOR,True,COMPLIANT_AUTHORIZED
scripts/evaluate_new_oos.py,64,oos_manifest = OOSManifest.load(oos_manifest_path),OOSManifest,AUTHORIZED_FINAL_EVALUATOR,True,COMPLIANT_AUTHORIZED
scripts/evaluate_new_oos.py,103,session = OOSEvaluationSession(,OOSEvaluationSession,AUTHORIZED_FINAL_EVALUATOR,True,COMPLIANT_AUTHORIZED
scripts/evaluate_new_oos.py,114,df_oos = OOSDataset.load_oos_data(,load_oos_data,AUTHORIZED_FINAL_EVALUATOR,True,COMPLIANT_AUTHORIZED
scripts/evaluate_new_oos.py,140,ret = evaluate_oos_gate(,evaluate_oos_gate,AUTHORIZED_FINAL_EVALUATOR,True,COMPLIANT_AUTHORIZED
scripts/research_step1_root_cause.py,35,test_df = df_labeled.iloc[bounds.test_indices].copy(),bounds\.test_indices,RESEARCH_ACCESS,False,HISTORICAL_GATE22_CONTAMINATED_DIAGNOSTIC
scripts/research_step1_root_cause.py,41,X_test = test_df[feature_cols].values,test_df,RESEARCH_ACCESS,False,HISTORICAL_GATE22_CONTAMINATED_DIAGNOSTIC
scripts/research_step1_root_cause.py,42,"y_test = test_df[""target_class""].values",test_df,RESEARCH_ACCESS,False,HISTORICAL_GATE22_CONTAMINATED_DIAGNOSTIC
scripts/research_step1_root_cause.py,47,X_test_s = scaler.transform(X_test),X_test,RESEARCH_ACCESS,False,HISTORICAL_GATE22_CONTAMINATED_DIAGNOSTIC
scripts/research_step1_root_cause.py,54,probas_test = hgb.predict_proba(X_test_s),X_test,RESEARCH_ACCESS,False,HISTORICAL_GATE22_CONTAMINATED_DIAGNOSTIC
scripts/research_step1_root_cause.py,99,n_test = len(test_df),test_df,RESEARCH_ACCESS,False,HISTORICAL_GATE22_CONTAMINATED_DIAGNOSTIC
scripts/research_step1_root_cause.py,127,row = test_df.iloc[i],test_df,RESEARCH_ACCESS,False,HISTORICAL_GATE22_CONTAMINATED_DIAGNOSTIC
scripts/research_step2_score_analysis.py,31,test_df = df_labeled.iloc[bounds.test_indices].copy(),bounds\.test_indices,RESEARCH_ACCESS,False,HISTORICAL_GATE22_CONTAMINATED_DIAGNOSTIC
scripts/research_step2_score_analysis.py,37,X_test = test_df[feature_cols].values,test_df,RESEARCH_ACCESS,False,HISTORICAL_GATE22_CONTAMINATED_DIAGNOSTIC
scripts/research_step2_score_analysis.py,38,"y_test = test_df[""target_class""].values",test_df,RESEARCH_ACCESS,False,HISTORICAL_GATE22_CONTAMINATED_DIAGNOSTIC
